case,pressure_Pa,step,time_s,T_sim_K,P_sim_Pa,mean_speed_sim,collisions_total,nu_meas,mfp_meas,n_theory,nu_theory,mfp_theory,mean_speed_theory,N_real,weight
p000_1.0e-06Pa,1.00E-06,1290,0.02582,294.2956369,2.02E-06,471.2958638,1,2337.64863,0.201611079,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,1300,0.02602,294.2956369,2.02E-06,471.2958638,1,2319.680539,0.203172745,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,1310,0.02622,294.2956369,2.02E-06,471.2958638,1,2301.986561,0.204734411,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,1320,0.02642,294.2956369,2.02E-06,471.2958638,1,2284.560471,0.206296077,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,1330,0.02662,294.2956369,2.02E-06,471.2958638,1,2267.39623,0.207857743,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,1340,0.02682,294.2956369,2.02E-06,471.2958638,1,2250.48798,0.209419409,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,1350,0.02702,294.2956369,2.02E-06,471.2958638,1,2233.830038,0.210981075,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,1360,0.02722,294.2956369,2.02E-06,471.2958638,1,2217.416886,0.212542741,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,1370,0.02742,294.2956369,2.02E-06,471.2958638,1,2201.243167,0.214104407,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,1380,0.02762,294.2956369,2.02E-06,471.2958638,1,2185.30368,0.215666073,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,1390,0.02782,294.2956369,2.02E-06,471.2958638,1,2169.593373,0.217227739,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,1400,0.02802,294.2956369,2.02E-06,471.2958638,1,2154.107339,0.218789405,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,1410,0.02822,294.2956369,2.02E-06,471.2958638,1,2138.840809,0.220351071,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,1420,0.02842,294.2956369,2.02E-06,471.2958638,1,2123.78915,0.221912737,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,1430,0.02862,294.2956369,2.02E-06,471.2958638,1,2108.947856,0.223474403,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,1440,0.02882,294.2956369,2.02E-06,471.2958638,1,2094.312548,0.225036069,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
